id,title
1,"History, Modern -- 19th century -- Juvenile literature -- Periodicals"
2,Tales -- Hungary
3,Camping -- Juvenile fiction
4,France -- Social life and customs -- Fiction
5,Christmas music -- Texts
6,"Rome -- History -- Republic, 265-30 B.C. -- Juvenile fiction"
7,Norwegian fiction -- Translations into Finnish
8,Poetry
9,Messengers -- Juvenile fiction
10,Buccaneers
11,Spain -- Court and courtiers
12,"Northwest, Canadian -- Description and travel"
13,New England -- Social life and customs -- Fiction
14,Lancashire (England) -- History
15,Sculpture
16,Italy -- Fiction
17,Art -- Korea
18,Periodicals
19,Literature -- Collections
20,Essays
21,"Bewick, Thomas, 1753-1828"
22,Man in the Iron Mask
23,Chicago (Ill.) -- Fiction
24,Railroad accidents -- Ohio -- Ashtabula
25,Monkeys -- Juvenile fiction
26,Science fiction
27,"Pompadour, Jeanne Antoinette Poisson, marquise de, 1721-1764"
28,Canadian poetry
29,Values
30,Debates and debating
31,Brothers and sisters -- Juvenile fiction
32,Balloon ascensions -- Fiction
33,"Lowell, James Russell, 1819-1891"
34,"Rome -- History -- Conspiracy of Catiline, 65-62 B.C."
35,Bible -- History of Biblical events -- Textbooks
36,"United States -- History -- Civil War, 1861-1865 -- Naval operations"
37,Natural history -- Juvenile literature
38,Pirates -- Biography
39,"Ward, Frederick Townsend, 1831-1862"
40,Irish Americans -- Fiction
41,Finnish fiction -- 19th century
42,Marriage -- History
43,New Thought
44,"Juana, la Loca, Queen of Castile, 1479-1555"
45,England -- Social life and customs -- 19th century -- Fiction
46,Lancashire (England) -- Fiction
47,Acting
48,Love stories
49,Renaissance -- France
50,American fiction -- 19th century
51,Young women -- Juvenile fiction
52,Japan -- History
53,"Authors, English -- 19th century -- Biography"
54,English poetry
55,Clergy -- Fiction
56,Slaves -- United States -- Biography
57,Agriculture -- Periodicals
58,French fiction -- Translations into English
59,Paris (France) -- Social life and customs -- Fiction
60,German literature -- 20th century
61,Fiction
62,Girls -- Juvenile fiction
63,Smuggling -- Great Britain
64,"Loti, Pierre, 1850-1923 -- Travel -- Iran"
65,Canada -- Fiction
66,United States -- Antiquities -- Catalogs
67,Human-alien encounters -- Fiction
68,Rhetoric -- Early works to 1800
69,"Kingsley, Mary Henrietta, 1862-1900 -- Travel -- Africa, West"
70,Lost tribes of Israel
71,Sudan -- History -- 1881-1899
72,"Humorous stories, English"
73,Jesus Christ -- Passion -- Devotional literature
74,"Louis XI, King of France, 1423-1483"
75,Mythology
76,Bears -- Juvenile fiction
77,Animals -- Biography
78,"Soto, Hernando de, approximately 1500-1542"
79,Tales -- Greece
80,"Lincoln, Abraham, 1809-1865 -- Assassination"
81,Ireland -- Periodicals
82,Vacations -- Juvenile fiction
83,"United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate"
84,Reformed Church -- Doctrines
85,Russia -- Social life and customs -- Fiction
86,China -- Historical geography
87,Bee culture
88,Birds -- India
89,Picaresque literature
90,Kentucky -- History -- To 1792
91,"Plants, Cultivated"
92,Railroads -- Austria -- History
93,"World War, 1914-1918 -- Anecdotes"
94,Social classes -- Juvenile fiction
95,England -- Fiction
96,Catholic Church -- Periodicals
97,Botanical illustration -- Periodicals
98,Historical fiction
99,Oregon Territory -- History
100,"Short stories, French"
101,"Pennsylvania -- History -- Civil War, 1861-1865 -- Regimental histories"
102,Telepathy
103,"Cooking, American"
104,Justice -- Early works to 1800
105,Questions and answers -- Periodicals
106,Netherlands -- History -- 19th century
107,Brigands and robbers -- Juvenile fiction
108,Oceania -- Fiction
109,Man-woman relationships -- Fiction
110,Deer -- Juvenile fiction
111,"Grant, Ulysses S. (Ulysses Simpson), 1822-1885"
112,"Short stories, American"
113,"China -- History -- Zhou dynasty, 1122-221 B.C. -- Fiction"
114,Paranormal fiction
115,England -- Drama
116,Finland -- Fiction
117,Ireland -- Description and travel
118,Japan -- Description and travel
119,"War, Maritime (International law)"
120,"Browne, Thomas, Sir, 1605-1682"
121,Casuistry
122,Biography
123,Survival -- Fiction
124,Florida -- Juvenile fiction
125,Slavery -- United States
126,English drama -- 17th century
127,Mathematics -- History
128,Detective and mystery stories
129,"Short stories, Australian"
130,Mammals -- Mexico -- Tamaulipas
131,"Authors, American -- 19th century -- Biography"
132,Toys
133,Popular literature -- Great Britain -- Periodicals
134,English wit and humor -- Periodicals
135,Mammals -- Michigan -- Berrien County
136,United States. Army -- Officers -- Fiction
137,English fiction -- 19th century
138,German fiction -- 19th century
139,Ireland -- Poetry
140,Folly -- Early works to 1800
141,Maine -- Juvenile fiction
142,"Great Britain -- History -- Norman period, 1066-1154 -- Sources"
143,"Castro, Inês de, -1355 -- Drama"
144,Sri Lanka -- Description and travel
145,Dead -- Fiction
146,"World War, 1914-1918 -- Juvenile fiction"
147,Russian fiction -- Translations into Finnish
148,Teachers -- Juvenile fiction
149,Cooking (Vegetables)
150,Illustrated periodicals -- France
151,Bible. Proverbs
152,"Renan, Ernest, 1823-1892"
153,Boys -- Juvenile fiction
154,Social classes -- Fiction
155,"Lincoln, Abraham, 1809-1865 -- Correspondence"
156,Criminals -- Ireland
157,Harvesting machinery
158,Wigtownshire (Scotland) -- Fiction
159,Middle Ages -- Juvenile fiction
160,Fijians
161,Psychiatric hospitals -- New York (State) -- History -- 19th century
162,"Literature, Modern -- 19th century -- Periodicals"
163,Fiction -- Dictionaries
164,"Garrick, David, 1717-1779 -- Poetry"
165,"Farrar, F. W. (Frederic William), 1831-1903. New apology"
166,Cornwall (England : County) -- Fiction
167,Mystery fiction
168,"Children''s stories, French"
169,"Finland -- History -- Revolution, 1917-1918"
170,Brandy -- Therapeutic use
171,Sailors -- Anecdotes
172,"Dogma, Development of"
173,Plantation life -- Fiction
174,Oz (Imaginary place) -- Juvenile fiction
175,Finnish fiction -- 20th century
176,Hunting stories
177,Criminals -- Fiction
178,American poetry
179,Short stories
180,African Americans
181,New York (State) -- Description and travel -- Fiction
182,Colorado -- Description and travel
183,Dreams -- Drama
184,"Ludwig II, King of Bavaria, 1845-1886"
185,Divination
186,Science -- History
187,Constitutional law -- United States
188,Spanish language -- Readers
189,Hungarian fiction
190,American wit and humor
191,Italian wit and humor
192,Jealousy -- Fiction
193,"Mythology, Celtic -- Ireland"
194,Shipwrecks -- Fiction
195,Conduct of life -- Juvenile fiction
196,"Telegraph, Wireless -- Juvenile fiction"
197,Hymns
198,Indexes
199,Herbs -- Early works to 1800
200,Sunday schools -- United States -- Periodicals
201,"Great Britain -- History -- Charles II, 1660-1685 -- Sources"
202,Working class -- Great Britain -- Biography
203,Love -- Early works to 1800
204,Epworth League (U.S.) -- Fiction
205,Jews -- Music
206,"Spanish drama -- Classical period, 1500-1700"
207,United States -- History
208,"Johnson, Samuel, 1709-1784"
209,Provence (France) -- Description and travel
210,Science -- Periodicals
211,California -- Fiction
212,Florida -- Guidebooks
213,Turkey -- Description and travel
214,Costume -- France -- History
215,Netherlands
216,Social history
217,Social conflict -- Spain -- History -- 19th century -- Fiction
218,Beccles (England) -- Independent church
219,"Risk Allah, Habeeb -- Travel -- Europe"
220,"Rowson, Mrs., 1762-1824 -- Fiction"
221,Texas -- History -- 20th century -- Fiction
222,Hat trade
223,Michigan -- Fiction
224,France -- History -- To 987 -- Fiction
225,United States -- Foreign relations
226,England -- Social life and customs
227,South America -- Description and travel
228,Bible. Matthew
229,Ireland -- Juvenile literature
230,English fiction -- 20th century
231,Cardiff (Wales) -- Pictorial works
232,English literature -- 19th century
233,Education of princes -- Fiction
234,Hungarian fiction -- 19th century
235,Conspiracies -- Fiction
236,Insects -- Juvenile literature
237,"Tragic, The -- Religious aspects -- Christianity"
238,Executions and executioners -- Fiction
239,Detectives -- France -- Biography
240,Cycling -- Fiction
241,Mississippi River -- Discovery and exploration
242,Slave trade -- Africa
243,Soul
244,Neutrality -- Netherlands
245,Athens (Greece) -- Social life and customs
246,Voyages and travels -- Juvenile fiction
247,Finnish drama
248,"France -- History -- Revolution, 1789-1799 -- Fiction"
249,Cooking (Cheese)
250,Music -- History and criticism
251,Mental health
252,"Sea stories, English"
253,German fiction
254,Socialism
255,Spanish Main -- Fiction
256,Married people -- United States -- Fiction
257,Male friendship -- Fiction
258,Epistolary fiction
259,French fiction -- 20th century
260,Communism
261,Mississippi River Valley -- Social life and customs -- 19th century
262,City and town life -- Fiction
263,Monasticism and religious orders -- England
264,Orphans -- Fiction
265,"Marguerite, Queen, consort of Henry IV, King of France, 1553-1615"
266,Haiti -- Description and travel
267,Sahara -- Fiction
268,Bibliography
269,"Love poetry, Canadian"
270,Travelers -- Fiction
271,Russian drama -- Translations into German
272,Squirrels
273,Aunts -- Fiction
274,Scotland -- Periodicals
275,Sports -- Moral and ethical aspects
276,Antigone (Mythological character) -- Drama
277,"Speeches, addresses, etc., English"
278,America -- Discovery and exploration -- French
279,Life
280,Iceland -- Description and travel
281,Metaphysics
282,Germany -- Fiction
283,"Songs, German -- Texts"
284,"Fugitive slaves -- Legal status, laws, etc. -- Maryland"
285,"Bigelow, Timothy, 1739-1790"
286,Norway -- Fiction
287,Working class -- Fiction
288,Great Britain -- History -- To 1485
289,Maryland -- Description and travel -- Poetry
290,Jerusalem -- Social life and customs
291,"Mexican War, 1846-1848"
292,Chemistry
293,Spain -- History -- 711-1516
294,Readers (Primary)
295,Hygiene
296,Feeds
297,Artists -- Fiction
298,French fiction -- 19th century
299,Carthage (Extinct city) -- History -- Fiction
300,Naval history
301,Flight attendants -- Juvenile fiction
302,Virgil. Aeneis
303,Iseult (Legendary character) -- Romances -- Adaptations
304,"Delacroix, Eugène, 1798-1863"
305,"Armada, 1588"
306,"Järnefelt, Arvid, 1861-1932"
307,"Geometry, Descriptive"
308,Alerte (Yacht)
309,Twins -- Juvenile fiction
310,Mormon Church
311,Anecdotes
312,Natural history -- United States
313,Kings and rulers -- Fiction
314,Highlands (Scotland) -- Fiction
315,Western stories
316,Books and reading -- United States
317,English drama -- 20th century
318,Birds
319,Dutch fiction
320,"New York (State) -- History -- Colonial period, ca. 1600-1775"
321,British -- Foreign countries -- Fiction
322,Aesthetics -- Early works to 1800
323,Adventure stories
324,Sea stories
325,"World War, 1914-1918 -- Aerial operations -- Juvenile fiction"
326,Great Britain. Army -- Ordnance facilities
327,Transvaal (South Africa) -- History -- War of 1880-1881 -- Fiction
328,Pirates -- Poetry
329,"Lönnrot, Elias, 1802-1884. Kanteletar"
330,United States -- Foreign relations -- 1775-1783
331,Northmen -- Fiction
332,Canadian fiction -- 20th century
333,"Painting, Japanese"
334,"Texas -- History -- Revolution, 1835-1836"
